samples,AIC,WAIC,10-fold-cv
2100.0,-725.2695962092291,-728.056231895404,362.7104121503134
2110.0,-725.270371888784,-728.0640642603835,362.65376040594936
2120.0,-725.2703155325497,-728.0342364808522,362.61451501561623
2130.0,-725.2712482187945,-728.0508446596083,362.6263361200271
2140.0,-725.2716055154197,-728.0710816785512,362.5939958345048
2150.0,-725.2713932240819,-728.0705571026414,362.7191218748891
2160.0,-725.2712764693077,-728.084535030294,362.6109757042038
2170.0,-725.2721225188543,-728.0877006772448,362.6359731838818
2180.0,-725.2718618352699,-728.0929993402816,362.64770109345795
2190.0,-725.2723946589895,-728.093013200881,362.6688460635245
2200.0,-725.273720676821,-728.0293097930291,362.6415813782925
2210.0,-725.2729620333446,-728.0263785361171,362.6003173150896
2220.0,-725.2731738172681,-728.019216285442,362.63252259130917
2230.0,-725.2745270436551,-728.0050077381445,362.593349048835
2240.0,-725.2730324814099,-728.0105990345322,362.6115501259741
2250.0,-725.2718777940526,-728.0182566866671,362.63153566906254
2260.0,-725.2698442073935,-728.0289147851453,362.606591302097
2270.0,-725.2701021547771,-728.0473123851663,362.5959683612498
2280.0,-725.2697958014519,-728.0582480183234,362.7193303760804
2290.0,-725.2713497344945,-728.0680734475143,362.5759230184305
2300.0,-725.2711729300676,-728.0793005503533,362.6322930971455
2310.0,-725.2698195507662,-728.0839780879902,362.68519101419486
2320.0,-725.2706199550012,-728.0888451011921,362.606087511953
2330.0,-725.2711055445344,-728.1031640188074,362.54570981161163
2340.0,-725.2712666587233,-728.1175052473513,362.67830479819213
2350.0,-725.2732091041989,-728.0923947922632,362.5401021326421
2360.0,-725.2747475418843,-728.0892283852738,362.6313686061859
2370.0,-725.2751226327927,-728.0993453135145,362.5943190891564
2380.0,-725.2762258686787,-728.1130062177176,362.5969471143257
2390.0,-725.2764752231319,-728.1250392829263,362.50936620692676
2400.0,-725.2763724384349,-728.1341159126735,362.6425381379225
2410.0,-725.2756513727329,-728.1362869791653,362.62453278057046
2420.0,-725.2742353488167,-728.1462898666563,362.6685838976219
2430.0,-725.2737095066943,-728.1574779246705,362.60580083094067
2440.0,-725.2739104023606,-728.1661599754373,362.63083422481384
2450.0,-725.2744205385955,-728.1812631532244,362.5866435505791
2460.0,-725.2745606117253,-728.1237986199646,362.6295043970268
2470.0,-725.2741960036844,-728.1321814280451,362.6439613699235
2480.0,-725.2761428926347,-728.0577766769792,362.6372952224072
2490.0,-725.2734784584446,-728.0631989555587,362.64947675465555
2500.0,-725.2735023629626,-728.0754056274031,362.5739206565227
2510.0,-725.2733610505163,-728.0869577474004,362.5596472666081
2520.0,-725.2741128976919,-728.0947403318158,362.61598352374904
2530.0,-725.2741116236517,-728.1035144206871,362.63364219765464
2540.0,-725.2731587912797,-728.1099680396297,362.66514251331563
2550.0,-725.2738617304269,-728.1162454492926,362.74147515260137
2560.0,-725.2750438540052,-727.9736925840405,362.5744268844926
2570.0,-725.2760481215084,-727.9880659459259,362.6440521277411
2580.0,-725.2724791702781,-727.9918378746198,362.5987813809021
2590.0,-725.2718292039242,-727.9550014577089,362.554639325096
2600.0,-725.2693834221509,-727.9526891013818,362.66487728985504
2610.0,-725.2696432572908,-727.9631904799986,362.66188826782883
2620.0,-725.2682677176758,-727.9733802626863,362.6733560111534
2630.0,-725.2685797016132,-727.9679554519037,362.5622068707732
2640.0,-725.267129860405,-727.97041365052,362.55447907115666
2650.0,-725.2680347782696,-727.9762467037913,362.53478680744723
2660.0,-725.2681072283136,-727.9884728395783,362.6575568511599
2670.0,-725.2674494516515,-727.9977154736974,362.64685636981727
2680.0,-725.2671884993817,-728.005203907949,362.601496272129
2690.0,-725.2659871958978,-728.0140896934715,362.57856494264144
2700.0,-725.2662750746588,-728.0258112919443,362.6096008473078
2710.0,-725.2658239087775,-728.0331097624131,362.58730806380345
2720.0,-725.2656245528158,-728.0369844427631,362.64419320042197
2730.0,-725.2660377436221,-728.0400026331636,362.60527813379787
2740.0,-725.2653304489131,-728.0478206594377,362.57893787468845
2750.0,-725.2636688027796,-728.0475435170665,362.5327495870958
2760.0,-725.2634321673476,-728.0442515504146,362.62938298822104
2770.0,-725.2622246714868,-728.0398729247386,362.5923658934699
2780.0,-725.2632002067953,-728.0362158795701,362.5850012514641
2790.0,-725.2634134939665,-728.0199752141009,362.579496950664
2800.0,-725.263722257383,-728.0330952314702,362.6193736340175
2810.0,-725.2628775326003,-728.0388493388431,362.65902641601303
2820.0,-725.2631620888365,-728.0489131895775,362.56936160858993
2830.0,-725.2624161334045,-728.035984251389,362.5543790848994
2840.0,-725.2626570051709,-728.0456261883405,362.5697594173717
2850.0,-725.2619656228762,-728.0523726256034,362.63657739512803
2860.0,-725.2611306721806,-728.0514969040585,362.5791661407211
2870.0,-725.2611898870482,-728.0618107337507,362.61891729569203
2880.0,-725.2620479508281,-728.035882808407,362.5858027092682
2890.0,-725.2620130579046,-728.0427888772352,362.6091405328285
2900.0,-725.261568555821,-728.0491613129383,362.57908055054264
2910.0,-725.2641045771411,-728.041882096437,362.58748852737773
2920.0,-725.2635943777491,-728.0552843784499,362.61486967816523
2930.0,-725.2620301152238,-728.054373715394,362.57073963638084
2940.0,-725.2619917704288,-728.0636314642969,362.54653437689683
2950.0,-725.2630087748048,-728.0417878890225,362.6823207113098
2960.0,-725.2631301099996,-728.0542796548901,362.63252558623236
2970.0,-725.2645184878929,-728.0482392199166,362.57097221076987
2980.0,-725.264888842719,-728.0552733295316,362.61265849733064
2990.0,-725.2639887796372,-728.05998634333,362.67364796451295
3000.0,-725.2639941881567,-728.0619580169173,362.55970752519215
3010.0,-725.2626538042327,-728.0553878054636,362.73574559614
3020.0,-725.2613103176307,-728.0571637793967,362.57828586379276
3030.0,-725.2616429276327,-728.0628880650797,362.62526885677244
3040.0,-725.2585459351939,-728.04277021114,362.61380096619183
3050.0,-725.258565032929,-728.0408612958972,362.6122863544692
3060.0,-725.2576160453833,-728.0454849561099,362.61697006969996
3070.0,-725.2567352776098,-728.0380550546057,362.6953465582794
3080.0,-725.256482028637,-728.04391849299,362.68164843390423
3090.0,-725.2565574601238,-728.0488591082828,362.5887233586642
3100.0,-725.2546326845871,-728.0541745824822,362.6131391262394
3110.0,-725.2557172701192,-728.0633576037931,362.62343270835083
3120.0,-725.2540327208507,-728.0689031395798,362.61623500286487
3130.0,-725.2533286626629,-728.0743663326816,362.5231992675021
3140.0,-725.2558580713367,-728.0840055513634,362.6567324675042
3150.0,-725.2549853401568,-728.0862717803917,362.58225538197684
3160.0,-725.2553096195185,-728.098480322229,362.6163153364707
3170.0,-725.2540209165309,-728.104957596617,362.59620973970397
3180.0,-725.2534631181766,-728.1110062276599,362.5892699798976
3190.0,-725.252674213265,-728.1075020362613,362.56569669192504
3200.0,-725.2534402121516,-728.1133788020302,362.58747430908716
3210.0,-725.2531328010306,-728.1217350009266,362.60818532406
3220.0,-725.2527215160821,-728.1264846346861,362.60751060684447
3230.0,-725.2515890309797,-728.1293248277627,362.5864224921556
3240.0,-725.2517379130113,-728.1355450775616,362.63657838247195
3250.0,-725.2522237657856,-728.1344959145987,362.5752336366423
3260.0,-725.2537714360788,-728.1305561256936,362.550828802608
3270.0,-725.2554139889271,-728.1312266552903,362.62703731655756
3280.0,-725.2559065458115,-728.141618877988,362.6097674254995
3290.0,-725.2544630335003,-728.1420169390768,362.6782067854078
3300.0,-725.2526807465322,-728.1353882521616,362.58794337217665
3310.0,-725.2527368412342,-728.1401687497262,362.62907992552226
3320.0,-725.2523566052438,-728.146552083499,362.6691055340645
3330.0,-725.2523678035966,-728.1444070096488,362.56271837832435
3340.0,-725.2521013011749,-728.140454706205,362.6365238080546
3350.0,-725.2516304266595,-728.1463338373925,362.62428989196985
3360.0,-725.2507390349907,-728.147217045897,362.6245070429411
3370.0,-725.2518351276256,-728.1472625372253,362.6392582419078
3380.0,-725.2527586628269,-728.150422195344,362.64311769135503
3390.0,-725.2539301973605,-728.151742989412,362.6018025936117
3400.0,-725.2539690705842,-728.1481010899122,362.61453668120737
3410.0,-725.2526974456462,-728.132827322614,362.5920432554025
3420.0,-725.2538499035659,-728.1330175065752,362.59976063028745
3430.0,-725.2550464641683,-728.1354126794952,362.6137122030853
3440.0,-725.2552476515639,-728.1252705229368,362.5612763049018
3450.0,-725.2562078851456,-728.1174542216721,362.61023418918495
3460.0,-725.2563762642571,-728.0982685719019,362.6270765935831
3470.0,-725.2558468658244,-728.1028104147694,362.62167591849885
3480.0,-725.2554750883016,-728.1010255499965,362.62931844331104
3490.0,-725.2559996481677,-728.1052701948624,362.56068016124556
3500.0,-725.2561509109462,-728.1059901052729,362.66195321702247
3510.0,-725.2566031395032,-728.1127413839804,362.5835869214037
3520.0,-725.2562037381874,-728.1196251831763,362.59922095752773
3530.0,-725.2560081976453,-728.1228001979132,362.59916960765975
3540.0,-725.2557163648898,-728.1240656129889,362.5941714991207
3550.0,-725.2562745187561,-728.1335949094743,362.6843417990948
3560.0,-725.2551915647887,-728.1391544685596,362.6608441148092
3570.0,-725.2553413086293,-728.1420805796389,362.6426628186728
3580.0,-725.2544555804348,-728.1439447840518,362.5840748086948
3590.0,-725.2546160406098,-728.1523862537941,362.63154723267854
3600.0,-725.2550213932398,-728.151534556298,362.5189394732219
3610.0,-725.2554456954064,-728.1602748258184,362.6546893975637
3620.0,-725.2562653987902,-728.167368745035,362.56063599126907
3630.0,-725.2549848654951,-728.1712888621103,362.6249951390858
3640.0,-725.2546030561647,-728.1751409287159,362.60056058248676
3650.0,-725.2538914664902,-728.0966160505596,362.60466563614324
3660.0,-725.2543226057539,-728.0996280568678,362.55644458203597
3670.0,-725.2550223827643,-728.1078925124502,362.5617919329179
3680.0,-725.2552430824862,-728.111617712277,362.67667723037016
3690.0,-725.256165751259,-728.1137112148947,362.65380136455053
3700.0,-725.2554573051196,-728.1204841031878,362.58692503563225
3710.0,-725.2549723780053,-728.1261415323921,362.6392071611653
3720.0,-725.2555357165919,-728.1269618767684,362.5784685250097
3730.0,-725.2540457032758,-728.0672536494151,362.62316922679247
3740.0,-725.2521393083364,-728.0719933135753,362.57719628074364
3750.0,-725.2520215024874,-728.0736375728403,362.63496625064215
3760.0,-725.2525761627837,-728.0789337293908,362.54800194210605
3770.0,-725.2517249316572,-728.0801309861546,362.67492348300357
3780.0,-725.2520761576546,-728.0914289115259,362.59196050115855
3790.0,-725.2522494311239,-728.0812816551916,362.6295067989591
3800.0,-725.2524432714697,-728.0862316460414,362.6586095590809
3810.0,-725.2523680494073,-728.0939122805038,362.653142140908
3820.0,-725.2521614709963,-728.0996792609504,362.66892435999523
3830.0,-725.2526733033433,-728.1075965565532,362.6242254303648
3840.0,-725.253797768903,-728.1195692956318,362.6500338874773
3850.0,-725.2519760274045,-728.116173733363,362.6388440844184
3860.0,-725.2516525435583,-728.1217770085002,362.6645534412051
3870.0,-725.2524051339406,-728.1225151697682,362.61572741922663
3880.0,-725.2522526147598,-728.112700539671,362.62077494361785
3890.0,-725.2526738977322,-728.1128444483654,362.632321614112
3900.0,-725.253159018212,-728.1112511104401,362.6215218579351
3910.0,-725.2532795437735,-728.1146067129068,362.63723770868904
3920.0,-725.2529835570842,-728.123532864074,362.63558243941554
3930.0,-725.2540571496099,-728.1259813712106,362.67643139234093
3940.0,-725.2552156429379,-728.0892324330536,362.6144864462952
3950.0,-725.2552431322595,-728.0981147871884,362.6578114512904
3960.0,-725.2568855897869,-728.0978412983478,362.6023990281163
3970.0,-725.2565516750815,-728.1022667092326,362.6609808227023
3980.0,-725.2565226303905,-728.1109703225814,362.6023055340213
3990.0,-725.2563374023155,-728.1043160050231,362.6197549563033
4000.0,-725.256824263042,-728.1119932968908,362.56573708209106
