,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,247.4,-454.0,-501.2,-397.1,0.0339
1,m2,244.2,-447.1,-496.6,-186.4,0.0349
2,m3,357.0,-668.9,-715.6,-668.1,0.0136
3,m4,291.4,-549.1,-605.1,-214.3,0.0253
4,m5,370.2,-741.9,-740.6,-743.7,0.014
