,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,209.6,-391.5,-436.1,16.9,0.0418
1,m2,211.6,-381.3,-428.4,289.6,0.0425
2,m3,352.6,-657.0,-703.9,-663.5,0.0242
3,m4,245.2,-443.9,-498.1,89.1,0.04
4,m5,353.0,-703.3,-702.2,-707.4,0.0282
