model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-419.2,-391.5,-436.1,16.9,0.0418
m2,-423.2,-381.3,-428.4,289.6,0.0425
m3,-705.2,-657.0,-703.9,-663.5,0.0242
m4,-490.4,-443.9,-498.1,89.1,0.04
m5,-706.0,-703.3,-702.2,-707.4,0.0282
