model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-503.0,-460.2,-504.7,-196.7,0.0226
m2,-486.0,-452.9,-501.8,-158.3,0.026000000000000002
m3,-702.8,-654.4,-702.2,-663.7,0.0148
m4,-507.8,-466.1,-522.0,-195.1,0.0266
m5,-718.6,-722.2,-720.6,-726.0,0.0164
