model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-424.4,-390.9,-435.2,-38.4,0.0302
m2,-403.6,-379.1,-426.7,92.0,0.0398
m3,-699.0,-651.4,-699.4,-664.3,0.0224
m4,-493.8,-466.7,-521.5,-88.2,0.0259
m5,-703.4,-706.1,-705.0,-708.9,0.0246
