model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-417.4,-384.5,-428.8,-32.5,0.0289
m2,-401.8,-373.8,-422.1,87.5,0.0319
m3,-691.6,-648.0,-695.6,-659.5,0.0221
m4,-490.0,-456.0,-510.6,-10.2,0.025
m5,-699.4,-700.5,-699.8,-704.3,0.0252
