,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,205.4,-394.4,-438.8,-15.9,0.0336
1,m2,208.2,-384.6,-431.5,136.5,0.0445
2,m3,349.6,-654.5,-702.1,-669.3,0.0219
3,m4,164.1,-457.4,-512.4,-41.6,0.0275
4,m5,351.3,-703.9,-703.2,-707.8,0.0253
