model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-393.2,-355.9,-401.3,-106.7,0.0383
m2,-384.8,-347.0,-396.0,-25.4,0.1043
m3,-691.0,-643.7,-691.9,-663.1,0.0258
m4,-405.6,-407.0,-463.9,-96.1,0.0402
m5,-694.2,-694.2,-693.5,-697.6,0.0309
