model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-408.4,-374.3,-419.1,19.3,0.0279
m2,-393.8,-365.5,-412.2,315.9,0.0494
m3,-694.6,-647.8,-695.3,-663.2,0.0255
m4,-324.2,-446.9,-501.4,152.2,0.0286
m5,-697.8,-699.4,-698.3,-701.5,0.0297
