model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-415.2,-371.5,-420.8,-394.8,0.0652
m2,-409.4,-361.5,-416.2,-380.5,0.0817
m3,-702.4,-653.4,-701.2,-672.0,0.0148
m4,-470.4,-433.8,-491.7,-338.2,0.0501
m5,-721.6,-722.7,-721.2,-727.8,0.0158
