,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,180.0,-314.1,-360.8,-111.1,0.0467
1,m2,172.4,-305.5,-353.1,118.6,0.0626
2,m3,329.3,-631.2,-678.6,-649.7,0.0204
3,m4,101.1,-336.4,-392.6,-8.6,0.0454
4,m5,348.6,-698.8,-697.8,-704.2,0.0217
