,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,283.0,-515.3,-562.1,-414.2,0.022
1,m2,279.6,-517.5,-568.5,-408.2,0.025
2,m3,371.9,-697.8,-745.0,-674.1,0.0119
3,m4,252.2,-534.8,-591.0,-327.2,0.0231
4,m5,379.1,-758.1,-756.8,-761.9,0.0129
