model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-566.0,-515.3,-562.1,-414.2,0.022000000000000002
m2,-559.2,-517.5,-568.5,-408.2,0.025
m3,-743.8,-697.8,-745.0,-674.1,0.0119
m4,-504.4,-534.8,-591.0,-327.2,0.0231
m5,-758.2,-758.1,-756.8,-761.9,0.0129
