,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,208.7,-384.5,-428.8,-32.5,0.0289
1,m2,200.9,-373.8,-422.1,87.5,0.0319
2,m3,345.8,-648.0,-695.6,-659.5,0.0221
3,m4,245.0,-456.0,-510.6,-10.2,0.025
4,m5,349.7,-700.5,-699.8,-704.3,0.0252
