model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-410.8,-394.4,-438.8,-15.9,0.0336
m2,-416.4,-384.6,-431.5,136.5,0.0445
m3,-699.2,-654.5,-702.1,-669.3,0.0219
m4,-328.2,-457.4,-512.4,-41.6,0.0275
m5,-702.6,-703.9,-703.2,-707.8,0.0253
