,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,202.5,-362.0,-408.3,-124.7,0.0631
1,m2,168.0,-363.2,-411.3,41.9,0.0892
2,m3,346.9,-648.2,-696.3,-663.9,0.0241
3,m4,229.9,-416.2,-472.5,-138.9,0.0591
4,m5,346.5,-695.5,-694.6,-700.6,0.0288
