,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,212.2,-390.9,-435.2,-38.4,0.0302
1,m2,201.8,-379.1,-426.7,92.0,0.0398
2,m3,349.5,-651.4,-699.4,-664.3,0.0224
3,m4,246.9,-466.7,-521.5,-88.2,0.0259
4,m5,351.7,-706.1,-705.0,-708.9,0.0246
