model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-360.0,-314.1,-360.8,-111.1,0.0467
m2,-344.8,-305.5,-353.1,118.6,0.0626
m3,-658.6,-631.2,-678.6,-649.7,0.0204
m4,-202.2,-336.4,-392.6,-8.6,0.0454
m5,-697.2,-698.8,-697.8,-704.2,0.0217
