,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,204.2,-374.3,-419.1,19.3,0.0279
1,m2,196.9,-365.5,-412.2,315.9,0.0494
2,m3,347.3,-647.8,-695.3,-663.2,0.0255
3,m4,162.1,-446.9,-501.4,152.2,0.0286
4,m5,348.9,-699.4,-698.3,-701.5,0.0297
