,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,251.5,-460.2,-504.7,-196.7,0.0226
1,m2,243.0,-452.9,-501.8,-158.3,0.026
2,m3,351.4,-654.4,-702.2,-663.7,0.0148
3,m4,253.9,-466.1,-522.0,-195.1,0.0266
4,m5,359.3,-722.2,-720.6,-726.0,0.0164
