,model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
0,m1,207.6,-371.5,-420.8,-394.8,0.0652
1,m2,204.7,-361.5,-416.2,-380.5,0.0817
2,m3,351.2,-653.4,-701.2,-672.0,0.0148
3,m4,235.2,-433.8,-491.7,-338.2,0.0501
4,m5,360.8,-722.7,-721.2,-727.8,0.0158
