model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,-405.0,-362.0,-408.3,-124.7,0.0631
m2,-336.0,-363.2,-411.3,41.9,0.0892
m3,-693.8,-648.2,-696.3,-663.9,0.0241
m4,-459.8,-416.2,-472.5,-138.9,0.0591
m5,-693.0,-695.5,-694.6,-700.6,0.0288
